#       point_x         point_y         point_z             U_x             U_y             U_z
           -196             -46             1.5   -0.0032393137       3.7506291    0.0020987265
           -200             -46             1.5               0       6.8749973    0.0034779827
           -200             -50             1.5               0       7.9158342    0.0011989664
           -196             -50             1.5               0           6.875               0
           -192             -46             1.5   -0.0064414946       3.7506322    0.0020616677
           -192             -50             1.5               0           6.875               0
           -188             -46             1.5   -0.0097433497       3.7506815    0.0020792541
           -188             -50             1.5               0           6.875               0
     -183.99999             -46             1.5    -0.013176188       3.7507486    0.0021085343
     -183.99999             -50             1.5               0           6.875               0
     -179.99999             -46             1.5    -0.016779754       3.7508314    0.0021489022
     -179.99999             -50             1.5               0           6.875               0
     -175.99998             -46             1.5    -0.020594237       3.7509307    0.0021994794
     -175.99998             -50             1.5               0       6.8750007               0
     -171.99996             -46             1.5    -0.024663196       3.7510498    0.0022604608
     -171.99996             -50             1.5               0       6.8750007               0
     -167.99994             -46             1.5    -0.029033778       3.7511906    0.0023323984
     -167.99994             -50             1.5               0       6.8750001               0
      -163.9999      -45.999999             1.5    -0.033750606       3.7513526    0.0024156218
     -163.99991             -50             1.5               0       6.8750008               0
     -159.99984      -45.999999             1.5     -0.03885861       3.7515349    0.0025118297
     -159.99986             -50             1.5               0       6.8750016               0
     -155.99976      -45.999998             1.5    -0.044406575       3.7517371     0.002621595
     -155.99978             -50             1.5               0       6.8750024               0
     -151.99964      -45.999996             1.5    -0.050447538        3.751958    0.0027455179
     -151.99967             -50             1.5               0       6.8750035               0
     -147.99946      -45.999993             1.5    -0.057039022       3.7521969    0.0028831383
     -147.99951             -50             1.5               0       6.8750047               0
     -143.99921      -45.999989             1.5    -0.064235561        3.752452    0.0030353664
     -143.99929             -50             1.5               0       6.8750076               0
     -139.99887      -45.999982             1.5    -0.072084689       3.7527212     0.003203235
     -139.99899             -50             1.5               0        6.875011               0
     -135.99843       -45.99997             1.5    -0.080627062       3.7529992    0.0033873908
     -135.99859             -50             1.5               0       6.8750147               0
     -131.99786      -45.999952             1.5    -0.089890226       3.7532786     0.003587613
     -131.99808             -50             1.5               0       6.8750211               0
     -127.99714      -45.999925             1.5    -0.099886486       3.7535494    0.0038041738
     -127.99745             -50             1.5               0       6.8750301               0
     -123.99627      -45.999882             1.5     -0.11060561       3.7537957    0.0040371117
     -123.99669             -50             1.5               0       6.8750421               0
     -119.99527      -45.999819             1.5      -0.1220012       3.7539959    0.0042856964
     -119.99582             -50             1.5               0       6.8750583               0
     -115.99415      -45.999727             1.5     -0.13397894       3.7541215    0.0045497601
     -115.99484             -50             1.5               0       6.8750792               0
     -111.99296      -45.999592             1.5     -0.14638517       3.7541361    0.0048287447
     -111.99382             -50             1.5               0        6.875107               0
     -107.99178      -45.999404             1.5     -0.15897844       3.7539907    0.0051198476
     -107.99281             -50             1.5               0       6.8751445               0
     -103.99068      -45.999142             1.5     -0.17140318       3.7536214    0.0054150808
     -103.99188             -50             1.5               0        6.875194               0
     -99.989775       -45.99879             1.5     -0.18319013       3.7529585     0.005708281
     -99.991106             -50             1.5               0        6.875259               0
     -95.989157      -45.998328             1.5      -0.1937632        3.751941    0.0059932164
     -95.990578             -50             1.5               0       6.8753432               0
     -91.988903      -45.997743             1.5     -0.20244774       3.7505184    0.0062662056
     -91.990357             -50             1.5               0       6.8754493               0
     -87.989062      -45.997029             1.5     -0.20845587       3.7486488    0.0065252442
      -87.99048             -50             1.5               0       6.8755791               0
     -83.989635      -45.996198             1.5     -0.21096992       3.7463693    0.0067631893
     -83.990952             -50             1.5               0       6.8757311               0
     -79.990581      -45.995285             1.5     -0.20931397       3.7437887    0.0069809376
     -79.991741             -50             1.5               0       6.8758993               0
     -75.991821      -45.994355             1.5     -0.20307022        3.741077    0.0071785919
     -75.992789             -50             1.5               0        6.876072               0
     -71.993257      -45.993492             1.5     -0.19219512        3.738463    0.0073544319
     -71.994014             -50             1.5               0       6.8762327               0
     -67.994786      -45.992799             1.5     -0.17707208       3.7361694    0.0075121244
     -67.995333             -50             1.5               0        6.876363               0
     -63.996313      -45.992372             1.5     -0.15846486       3.7343915    0.0076531915
     -63.996667             -50             1.5               0       6.8764448               0
     -59.997768      -45.992275             1.5     -0.13742434       3.7332615    0.0077804554
     -59.997952             -50             1.5               0       6.8764657               0
     -55.999104      -45.992526             1.5     -0.11516097       3.7328391    0.0078944312
     -55.999141             -50             1.5               0       6.8764221               0
      -52.00029      -45.993086             1.5    -0.092917559       3.7331123    0.0079925188
     -52.000199             -50             1.5               0       6.8763208               0
     -48.001304      -45.993873             1.5    -0.071840278       3.7339966    0.0080700633
     -48.001105             -50             1.5               0       6.8761764               0
     -44.002128      -45.994785             1.5    -0.052854008        3.735343    0.0081216684
     -44.001841             -50             1.5               0       6.8760075               0
      -40.00275      -45.995722             1.5    -0.036570676       3.7369702    0.0081459428
     -40.002395             -50             1.5               0       6.8758324               0
     -36.003164      -45.996609             1.5    -0.023273609       3.7386953    0.0081516677
     -36.002764             -50             1.5               0       6.8756657               0
      -32.00337      -45.997391             1.5    -0.012965499       3.7403539     0.008162873
      -32.00295             -50             1.5               0       6.8755174               0
     -28.003379      -45.998046             1.5   -0.0054428998       3.7418336     0.008210191
     -28.002963             -50             1.5               0       6.8753929               0
     -24.003211      -45.998569             1.5  -0.00037745814       3.7430838    0.0082915808
     -24.002821             -50             1.5               0       6.8752927               0
     -20.002893       -45.99897             1.5    0.0026159885       3.7441026      0.00837473
     -20.002547             -50             1.5               0       6.8752153               0
     -16.002456      -45.999266             1.5     0.003933389       3.7449072    0.0084401675
     -16.002165             -50             1.5               0        6.875158               0
     -12.001928      -45.999475             1.5    0.0039568509       3.7455112    0.0084858981
     -12.001702             -50             1.5               0       6.8751173               0
     -8.0013319      -45.999612             1.5    0.0030435288       3.7459308     0.008514187
     -8.0011773             -50             1.5               0       6.8750905               0
     -4.0006852      -45.999691             1.5     0.001523107       3.7461806    0.0085275416
     -4.0006057             -50             1.5               0       6.8750754               0
  7.9759491e-07      -45.999717             1.5  -0.00029589736       3.7462686    0.0085278547
  6.5563064e-07             -50             1.5               0       6.8750706               0
      4.0006868      -45.999691             1.5   -0.0021148815        3.746196     0.008516021
      4.0006071             -50             1.5               0       6.8750754               0
      8.0013336      -45.999612             1.5   -0.0036342551       3.7459589    0.0084916036
      8.0011787             -50             1.5               0       6.8750904               0
      12.001929      -45.999475             1.5   -0.0045436891       3.7455492    0.0084527377
      12.001704             -50             1.5               0       6.8751174               0
      16.002458      -45.999266             1.5   -0.0045131574       3.7449558    0.0083965897
      16.002167             -50             1.5               0        6.875158               0
      20.002895       -45.99897             1.5   -0.0031870662       3.7441659    0.0083200091
      20.002549             -50             1.5               0       6.8752154               0
      24.003214      -45.998568             1.5  -0.00018467484       3.7431668    0.0082239876
      24.002824             -50             1.5               0       6.8752928               0
      28.003382      -45.998045             1.5     0.004889199       3.7419408    0.0081266273
      28.002967             -50             1.5               0       6.8753931               0
      32.003374       -45.99739             1.5     0.012423336       3.7404853    0.0080606031
      32.002955             -50             1.5               0       6.8755178               0
       36.00317      -45.996607             1.5     0.022755519       3.7388463     0.008030236
       36.00277             -50             1.5               0        6.875666               0
      40.002758       -45.99572             1.5     0.036093286       3.7371374    0.0080046421
      40.002403             -50             1.5               0       6.8758328               0
      44.002139      -45.994782             1.5     0.052425604       3.7355293    0.0079569236
      44.001851             -50             1.5               0        6.876008               0
      48.001318       -45.99387             1.5      0.07145078       3.7342116    0.0078772818
      48.001118             -50             1.5               0       6.8761771               0
      52.000308      -45.993081             1.5      0.09253839       3.7333688    0.0077686895
      52.000216             -50             1.5               0       6.8763218               0
      55.999127      -45.992521             1.5      0.11475087       3.7331509    0.0076365715
      55.999161             -50             1.5               0       6.8764233               0
      59.997796      -45.992269             1.5      0.13692437        3.733644    0.0074865316
      59.997977             -50             1.5               0        6.876467               0
      63.996346      -45.992364             1.5      0.15778813       3.7348621    0.0073218384
      63.996697             -50             1.5               0       6.8764464               0
      67.994823       -45.99279             1.5      0.17610471       3.7367436    0.0071448428
      67.995367             -50             1.5               0       6.8763649               0
      71.993299      -45.993482             1.5      0.19081316       3.7391481     0.006956784
       71.99405             -50             1.5               0       6.8762346               0
      75.991865      -45.994344             1.5      0.20116762       3.7418626    0.0067568768
      75.992828             -50             1.5               0        6.876074               0
      79.990626      -45.995274             1.5      0.20683225       3.7446371    0.0065442716
      79.991782             -50             1.5               0       6.8759015               0
       83.98968      -45.996187             1.5       0.2079316        3.747228    0.0063185596
      83.990993             -50             1.5               0       6.8757333               0
      87.989106      -45.997018             1.5      0.20494009       3.7494663    0.0060781278
       87.99052             -50             1.5               0       6.8755811               0
      91.988944      -45.997733             1.5      0.19855142       3.7512571    0.0058250044
      91.990395             -50             1.5               0       6.8754512               0
      95.989194       -45.99832             1.5      0.18959485       3.7525802    0.0055657977
      95.990612             -50             1.5               0       6.8753448               0
      99.989808      -45.998783             1.5      0.17887296       3.7534868     0.005303621
      99.991136             -50             1.5               0       6.8752602               0
      103.99071      -45.999136             1.5      0.16707862       3.7540435    0.0050420288
      103.99191             -50             1.5               0       6.8751951               0
       107.9918      -45.999398             1.5      0.15477816       3.7543239    0.0047841046
      107.99283             -50             1.5               0       6.8751463               0
      111.99298      -45.999588             1.5      0.14240557       3.7543975     0.004532476
      111.99384             -50             1.5               0       6.8751086               0
      115.99416      -45.999722             1.5      0.13027709       3.7543219    0.0042893193
      115.99486             -50             1.5               0       6.8750793               0
      119.99528      -45.999816             1.5      0.11861127       3.7541434    0.0040565004
      119.99583             -50             1.5               0       6.8750583               0
      123.99628       -45.99988             1.5      0.10754877       3.7538991    0.0038355432
       123.9967             -50             1.5               0       6.8750426               0
      127.99715      -45.999923             1.5     0.097169711       3.7536177    0.0036274794
      127.99746             -50             1.5               0       6.8750305               0
      131.99786      -45.999951             1.5     0.087508663       3.7533195    0.0034329524
      131.99808             -50             1.5               0        6.875022               0
      135.99844      -45.999969             1.5     0.078568244        3.753019    0.0032523329
      135.99859             -50             1.5               0       6.8750156               0
      139.99888      -45.999981             1.5     0.070328945       3.7527263    0.0030857695
      139.99899             -50             1.5               0       6.8750111               0
      143.99922      -45.999989             1.5      0.06275625        3.752448    0.0029330363
      143.99929             -50             1.5               0       6.8750076               0
      147.99947      -45.999993             1.5     0.055806331       3.7521878    0.0027937095
      147.99951             -50             1.5               0        6.875004               0
      151.99964      -45.999996             1.5     0.049431287       3.7519483    0.0026677207
      151.99967             -50             1.5               0       6.8750028               0
      155.99976      -45.999998             1.5     0.043579559       3.7517309    0.0025548564
      155.99978             -50             1.5               0       6.8750024               0
      159.99984      -45.999999             1.5      0.03819818       3.7515359    0.0024543275
      159.99986             -50             1.5               0       6.8750016               0
       163.9999      -45.999999             1.5     0.033236145       3.7513626    0.0023653338
      163.99991             -50             1.5               0       6.8750008               0
      167.99994             -46             1.5     0.028644263       3.7512101     0.002287219
      167.99994             -50             1.5               0       6.8750001               0
      171.99996             -46             1.5     0.024375617       3.7510773    0.0022193721
      171.99996             -50             1.5               0       6.8750007               0
      175.99998             -46             1.5      0.02038537       3.7509632    0.0021613698
      175.99998             -50             1.5               0       6.8750007               0
