#       point_x         point_y         point_z             U_x             U_y             U_z
      64.002388      -45.996859             1.5               0       3.7499995               0
      64.002188             -50             1.5               0       6.8755934               0
      68.001437      -45.997388             1.5               0       3.7499993               0
      68.001357             -50             1.5               0        6.875495               0
      72.000595       -45.99791             1.5               0       3.7499993               0
       72.00062             -50             1.5               0       6.8753978               0
      75.999895      -45.998385             1.5               0       3.7499993               0
      76.000004             -50             1.5               0       6.8753093               0
      79.999358      -45.998791             1.5               0       3.7499993               0
      79.999526             -50             1.5               0       6.8752337               0
      83.998988      -45.999119             1.5               0       3.7499993               0
      83.999192             -50             1.5               0       6.8751725               0
      87.998776      -45.999375             1.5               0       3.7499994               0
      87.998993             -50             1.5               0       6.8751247               0
      91.998699      -45.999567             1.5               0       3.7499994               0
       91.99891             -50             1.5               0       6.8750887               0
      95.998727      -45.999707             1.5               0       3.7499995               0
      95.998919             -50             1.5               0       6.8750622               0
      99.998827      -45.999806             1.5               0       3.7499996               0
      99.998994             -50             1.5               0        6.875043               0
      103.99897      -45.999874             1.5               0       3.7499997               0
      103.99911             -50             1.5               0       6.8750297               0
      107.99913       -45.99992             1.5               0       3.7499998               0
      107.99924             -50             1.5               0       6.8750197               0
      111.99929      -45.999951             1.5               0       3.7499998               0
      111.99938             -50             1.5               0       6.8750135               0
      115.99944      -45.999971             1.5               0       3.7499999               0
       115.9995             -50             1.5               0       6.8750087               0
      119.99957      -45.999983             1.5               0       3.7499999               0
      119.99962             -50             1.5               0       6.8750055               0
      123.99968       -45.99999             1.5               0       3.7499999               0
      123.99971             -50             1.5               0        6.875004               0
      127.99977      -45.999995             1.5               0            3.75               0
      127.99979             -50             1.5               0       6.8750025               0
      131.99983      -45.999997             1.5               0            3.75               0
      131.99985             -50             1.5               0       6.8750012               0
      135.99988      -45.999999             1.5               0            3.75               0
       135.9999             -50             1.5               0       6.8750009               0
      139.99992             -46             1.5               0            3.75               0
      139.99993             -50             1.5               0       6.8750014               0
      143.99995             -46             1.5               0            3.75               0
      143.99995             -50             1.5               0       6.8750007               0
      147.99997             -46             1.5               0            3.75               0
      147.99997             -50             1.5               0           6.875               0
      151.99998             -46             1.5               0            3.75               0
      151.99998             -50             1.5               0           6.875               0
      155.99999             -46             1.5               0            3.75               0
      155.99999             -50             1.5               0           6.875               0
      159.99999             -46             1.5               0            3.75               0
      159.99999             -50             1.5               0       6.8749993               0
      163.99999             -46             1.5               0            3.75               0
            164             -50             1.5               0           6.875               0
            168             -46             1.5               0            3.75               0
            168             -50             1.5               0       6.8750007               0
            172             -46             1.5               0            3.75               0
            172             -50             1.5               0           6.875               0
            176             -46             1.5               0            3.75               0
            176             -50             1.5               0           6.875               0
            180             -46             1.5               0            3.75               0
            180             -50             1.5               0           6.875               0
            184             -46             1.5               0            3.75               0
            184             -50             1.5               0           6.875               0
            188             -46             1.5               0            3.75               0
            188             -50             1.5               0           6.875               0
            192             -46             1.5               0            3.75               0
            192             -50             1.5               0           6.875               0
            196             -46             1.5               0            3.75               0
            196             -50             1.5               0           6.875               0
            200             -50             1.5               0       7.9166667               0
            200             -46             1.5               0           6.875               0
           -196             -42             1.5               0            3.75               0
           -200             -42             1.5               0           6.875               0
           -192             -42             1.5               0            3.75               0
           -188             -42             1.5               0            3.75               0
           -184             -42             1.5               0            3.75               0
           -180             -42             1.5               0            3.75               0
           -176             -42             1.5               0            3.75               0
           -172             -42             1.5               0            3.75               0
           -168             -42             1.5               0            3.75               0
     -163.99999             -42             1.5               0            3.75               0
     -159.99999             -42             1.5               0            3.75               0
     -155.99998             -42             1.5               0            3.75               0
     -151.99997             -42             1.5               0            3.75               0
     -147.99996             -42             1.5               0            3.75               0
     -143.99994             -42             1.5               0            3.75               0
      -139.9999             -42             1.5               0            3.75               0
     -135.99986      -41.999998             1.5               0            3.75               0
      -131.9998      -41.999996             1.5               0            3.75               0
     -127.99971      -41.999991             1.5               0            3.75               0
      -123.9996      -41.999983             1.5               0       3.7499999               0
     -119.99946       -41.99997             1.5               0       3.7499999               0
     -115.99929      -41.999947             1.5               0       3.7499998               0
      -111.9991       -41.99991             1.5               0       3.7499998               0
     -107.99888      -41.999853             1.5               0       3.7499997               0
     -103.99866      -41.999766             1.5               0       3.7499996               0
     -99.998453      -41.999636             1.5               0       3.7499995               0
     -95.998298      -41.999448             1.5               0       3.7499993               0
     -91.998232       -41.99918             1.5               0       3.7499993               0
       -87.9983       -41.99881             1.5               0       3.7499992               0
     -83.998541      -41.998313             1.5               0        3.749999               0
     -79.998989      -41.997667             1.5               0        3.749999               0
     -75.999659      -41.996861             1.5               0       3.7499989               0
     -72.000543      -41.995906             1.5               0        3.749999               0
     -68.001612      -41.994839             1.5               0       3.7499991               0
     -64.002819      -41.993743             1.5               0       3.7499993               0
     -60.004106      -41.992737             1.5               0       3.7499994               0
