#       point_x         point_y         point_z             U_x             U_y             U_z
           -196             -46             1.5   -0.0023831685       3.7502201    0.0020872693
           -200             -46             1.5               0        6.874232    0.0034939936
           -200             -50             1.5               0       7.9156829    0.0012481763
           -196             -50             1.5               0           6.875               0
           -192             -46             1.5   -0.0046943168       3.7502101    0.0020349007
           -192             -50             1.5               0           6.875               0
           -188             -46             1.5   -0.0070323823       3.7502245    0.0020355517
           -188             -50             1.5               0           6.875               0
           -184             -46             1.5   -0.0094097209       3.7502455    0.0020460528
           -184             -50             1.5               0           6.875               0
           -180             -46             1.5    -0.011836833       3.7502699    0.0020623751
           -180             -50             1.5               0           6.875               0
           -176             -46             1.5    -0.014324296       3.7502974    0.0020829245
           -176             -50             1.5               0           6.875               0
           -172             -46             1.5    -0.016881856       3.7503278    0.0021070448
           -172             -50             1.5               0           6.875               0
           -168             -46             1.5    -0.019519493       3.7503615    0.0021346741
           -168             -50             1.5               0       6.8750007               0
     -163.99999             -46             1.5    -0.022247011       3.7503989    0.0021658778
           -164             -50             1.5               0           6.875               0
     -159.99999             -46             1.5     -0.02507431       3.7504398     0.002200749
     -159.99999             -50             1.5               0       6.8749993               0
     -155.99999             -46             1.5    -0.028011129        3.750484    0.0022393642
     -155.99999             -50             1.5               0           6.875               0
     -151.99998             -46             1.5    -0.031066823       3.7505311    0.0022817661
     -151.99998             -50             1.5               0           6.875               0
     -147.99997             -46             1.5    -0.034250028       3.7505805    0.0023280496
     -147.99997             -50             1.5               0           6.875               0
     -143.99995             -46             1.5    -0.037568214       3.7506312    0.0023782933
     -143.99995             -50             1.5               0       6.8750007               0
     -139.99992             -46             1.5    -0.041027074       3.7506819    0.0024326042
     -139.99993             -50             1.5               0       6.8750014               0
     -135.99988      -45.999999             1.5     -0.04462973       3.7507308    0.0024910669
      -135.9999             -50             1.5               0       6.8750009               0
     -131.99983      -45.999997             1.5    -0.048375522       3.7507758    0.0025538625
     -131.99985             -50             1.5               0       6.8750012               0
     -127.99977      -45.999995             1.5    -0.052259185       3.7508136    0.0026210942
     -127.99979             -50             1.5               0       6.8750025               0
     -123.99968       -45.99999             1.5    -0.056268144       3.7508393    0.0026924803
     -123.99971             -50             1.5               0        6.875004               0
     -119.99957      -45.999983             1.5    -0.060379712       3.7508471     0.002767767
     -119.99962             -50             1.5               0       6.8750062               0
     -115.99944      -45.999971             1.5    -0.064559446       3.7508292    0.0028468931
     -115.99951             -50             1.5               0       6.8750087               0
     -111.99929      -45.999951             1.5    -0.068757422       3.7507759    0.0029297264
     -111.99938             -50             1.5               0       6.8750128               0
     -107.99913       -45.99992             1.5    -0.072903969        3.750675    0.0030159782
     -107.99924             -50             1.5               0       6.8750197               0
     -103.99897      -45.999874             1.5     -0.07690489       3.7505112    0.0031052145
     -103.99911             -50             1.5               0       6.8750297               0
     -99.998827      -45.999806             1.5      -0.0806359       3.7502666    0.0031969076
     -99.998994             -50             1.5               0       6.8750431               0
     -95.998727      -45.999707             1.5    -0.083937265       3.7499201    0.0032903935
      -95.99892             -50             1.5               0        6.875062               0
     -91.998699      -45.999567             1.5    -0.086609666       3.7494492     0.003384904
      -91.99891             -50             1.5               0       6.8750886               0
     -87.998776      -45.999375             1.5     -0.08840686       3.7488279     0.003479691
     -87.998993             -50             1.5               0       6.8751247               0
     -83.998989      -45.999119             1.5    -0.089046663       3.7480396    0.0035731781
     -83.999192             -50             1.5               0       6.8751725               0
     -79.999358      -45.998791             1.5    -0.088226451        3.747076    0.0036640827
     -79.999527             -50             1.5               0       6.8752338               0
     -75.999896      -45.998385             1.5    -0.085637944        3.745945    0.0037510697
     -76.000004             -50             1.5               0       6.8753092               0
     -72.000596      -45.997911             1.5     -0.08101622       3.7446906    0.0038318393
      -72.00062             -50             1.5               0       6.8753978               0
     -68.001437      -45.997388             1.5    -0.074208924       3.7433984    0.0039041663
     -68.001357             -50             1.5               0        6.875495               0
     -64.002388      -45.996859             1.5    -0.065258581       3.7422052     0.003965822
     -64.002188             -50             1.5               0       6.8755934               0
       -60.0034      -45.996379             1.5    -0.054480039       3.7412826    0.0040145765
     -60.003071             -50             1.5               0       6.8756824               0
     -56.004429      -45.996008             1.5    -0.042482438       3.7407937    0.0040475325
     -56.003965             -50             1.5               0       6.8757512               0
     -52.005413      -45.995799             1.5    -0.030103661       3.7408382    0.0040604499
     -52.004814             -50             1.5               0       6.8757912               0
     -48.006285      -45.995779             1.5    -0.018259725        3.741411    0.0040502953
